lekid,x,y,area,per_miss,per_zero,mean_count,sd_count,min_count,max_count,len_road,mean_ppt,mean_sage,mean_herb,mean_nest
G-Little Round Mtn North,-1188891.911,2166904.472, G,12.5,56.25,23.60714286,27.81331853,0,88,98055.3221,21.39785,4.360607,12.741866,0.034573
G-Little Round Mtn South,-1191189.238,2162321.299, G,34.375,65.625,17.04761905,19.42543742,0,59,98378.17178,21.722221,4.945873,14.899882,0.038062
G-Lost Dog 1,-1119465.885,2123240.804, G,0,75,2.75,5.588005588,0,18,122642.3088,20.125,9.706866,15.687091,0.112438
G-Lost Dog 2,-1119248.223,2117079.301, G,0,65.625,5.96875,11.21198775,0,35,118843.3074,20.574468,9.53897,16.375692,0.181748
G-Lost Dog/Hwy 530,-1119018.78,2125752.053, G,0,46.875,15.5,18.758224,0,60,126766.9625,19.521739,9.153756,15.240996,0.072751
G-Main Road,-1168861.162,2116673.567, G,18.75,75,11.5,18.75793166,0,50,163459.1291,19.516128,5.488716,7.965851,0.081713
G-Meadow Sp 2,-1158537.197,2130947.991, G,18.75,43.75,31.34615385,25.52950028,0,74,125869.415,17.473117,6.69815,9.415709,0.126247
G-Meadow Sp 3,-1154124.902,2132496.68, G,18.75,46.875,24.88461538,25.51129463,0,79,56952.33787,19.148935,4.163721,5.771446,0.059988
G-Middle Clear Creek Ridge,-1212527.375,2175924.906, G,59.375,59.375,33.92307692,14.15663295,21,71,134339.8191,24.119565,8.194736,14.504649,0.072868
G-Midland 2,-1087936.744,2241122.28, G,15.625,56.25,56.2962963,82.28553234,0,279,187159.2636,24.266666,14.476556,14.933866,0.387228
G-Mormon Knoll,-1116325.473,2185407.796, G,34.375,93.75,1.666666667,5.266244709,0,18,157242.2252,19,8.688032,13.898027,0.162097
G-Mulkay Springs,-1186599.056,2146856.921, G,53.125,84.375,4,8.159131606,0,29,106959.11,21.725275,2.341587,7.883817,0.025182
G-Mulkay Springs North,-1190046.846,2158657.895, G,53.125,75,14.73333333,19.20738945,0,61,89494.88484,21.553192,3.861263,12.774174,0.034794
G-Musselman Draw,-1205554.097,2117232.914, G,0,62.5,9.53125,17.27759014,0,78,203394.5491,28.538461,13.607292,19.639829,0.280246
G-Nancy Hill Grave,-1208206.354,2197175.538, G,9.375,65.625,4.620689655,8.861690395,0,39,116643.1393,27.031915,10.852206,14.978764,0.100041
G-Nellie Case,-1200790.13,2217314.538, G,68.75,68.75,15.6,7.121173436,6,31,120152.7018,24.943181,14.34814,15.238363,0.235398
G-No Name,-1214804.737,2141785.988, G,0,78.125,1.84375,4.739057855,0,21,169357.9515,23.881719,11.221788,18.039896,0.157617
G-Norris Tratnik,-1169112.25,2202823.443, G,56.25,65.625,7.785714286,6.326726842,0,20,130485.789,19.945055,5.291898,13.484837,0.066589
G-North Buckboard,-1127307.665,2111023.867, G,34.375,40.625,58.85714286,40.1712406,0,148,120757.9453,23.186813,7.401682,11.994987,0.080798
G-North Crawford,-1236109.873,2181620.811, G,0,15.625,34.28125,24.56621648,0,78,75873.33532,22.399999,16.562816,16.263109,0.563065
G-North Halfway Hollow,-1128562.002,2116351.816, G,46.875,46.875,47.64705882,21.60422753,17,87,98862.14618,22.255319,6.767812,12.305625,0.059046
G-North Pacific Crk 7,-1075443.887,2214903.221, G,0,75,5.5625,12.96630248,0,58,177748.0801,20.944444,13.001685,16.731931,0.294383
G-North Twin Cr,-1207395.636,2187342.265, G,3.125,46.875,18.96774194,25.66253283,0,87,123145.1217,24.404495,8.316379,15.615323,0.048976
G-Oregon Trail Marker,-1066450.276,2218445.242, G,65.625,71.875,23.81818182,22.09442546,0,62,215696.2784,22.34066,12.273607,15.285778,0.255463
G-Ox Yoke,-1081996.109,2196214.341, G,34.375,68.75,21.95238095,29.7497499,0,91,151813.4731,20.144443,9.410045,15.068996,0.224072
G-Pacific Creek Playa,-1051473.18,2220515.628, G,0,6.25,36.84375,28.57148293,0,116,166097.6093,23.863157,15.700198,10.269582,0.417017
G-Patrick Draw,-1053645.522,2117074.787, G,0,12.5,23.03125,11.71016756,0,49,110356.1861,17.526882,9.115136,8.191869,0.152929
G-Perry Bench,-1200101.099,2101655.344, G,15.625,56.25,6.296296296,8.57462632,0,32,163042.7281,31.649484,5.486945,42.119922,0.015119
G-Petersen Ranch Lek,-1222869.841,2200880.136, G,0,31.25,24.28125,22.16686626,0,76,112572.2616,22.769229,12.800415,22.540569,0.262054
G-Petroglyph,-1089209.552,2168075.28, G,53.125,65.625,18.26666667,18.96789267,0,58,100891.7687,19.446807,5.85014,16.567756,0.059488
G-Question Mark Reservoir,-1226293.033,2174598.006, G,65.625,78.125,7.818181818,7.318718219,0,19,125995.7496,24.858695,12.440532,17.053291,0.259446
G-Reed Reservoir,-1178869.68,2105613.075, G,15.625,84.375,3.777777778,10.62773343,0,40,217271.3643,24.955055,8.356584,12.541299,0.060917
G-Rifes Rim East,-1060429.077,2087337.006, G,31.25,40.625,10.13636364,7.851572209,0,31,68931.54012,28.301074,7.900289,9.008934,0.109649
G-Rifes Rim West,-1070270.324,2086385.732, G,28.125,56.25,17.56521739,24.49828582,0,77,96540.2357,30.159574,9.280267,8.777507,0.065386
G-Rigby Road,-1048183.118,2163263.287, G,37.5,96.875,0.5,2.236067977,0,10,131760.2368,17.934782,9.395733,8.165899,0.183954
G-Roberson East,-1170474.703,2167835.786, G,59.375,87.5,2.384615385,4.388212649,0,12,66754.18492,20.279569,5.865101,10.652964,0.104421
G-Roberson North,-1173388.054,2169180.115, G,59.375,71.875,6.846153846,5.885662719,0,16,75106.44711,20.626373,6.008747,10.56236,0.104034
G-Round Mtn,-1178563.826,2185408.852, G,0,37.5,12.28125,14.06490571,0,47,133891.4745,21.322221,7.686773,14.071317,0.059309
G-Sage,-1228381.011,2185380.775, G,0,46.875,7.09375,9.663230526,0,33,136346.1807,22.893617,14.910943,16.381006,0.310979
G-Salt Creek 1,-1234778.778,2154616.56, G,12.5,50,15.78571429,16.18036566,0,51,210580.686,23,15.624134,17.585714,0.369197
G-Sand Creek,-1042172.458,2106517.272, G,59.375,78.125,27.38461538,36.68228106,0,119,96426.17113,20.544445,11.074436,8.377943,0.132838
G-Sand Knoll,-1227133.233,2176721.966, G,40.625,84.375,1.473684211,2.835654364,0,10,133522.491,24.413043,13.414024,17.436771,0.315478
G-Sand Knolls 1,-1096308.295,2182048.233, G,12.5,43.75,30.28571429,35.25447925,0,119,124400.4091,19.977272,9.971617,15.528706,0.191224
G-School Sect Springs,-1188397.276,2188195.968, G,0,93.75,1.0625,5.327575857,0,30,162469.076,23.333333,11.205917,11.814117,0.106912
G-Shurtleff,-1215065.174,2145196.641, G,0,93.75,0.25,1.244342034,0,7,166564.6747,23.869565,11.725182,17.686216,0.16637
G-Simpson,-1111799.942,2207716.065, G,15.625,53.125,27.40740741,36.2610824,0,116,99978.5626,20,11.163032,17.201971,0.305482
G-Skull Point West,-1207351.613,2170598.235, G,53.125,56.25,19.33333333,11.04320519,0,39,141526.9168,23.186813,7.496216,15.719641,0.077284
G-Small Pox Creek,-1214276.814,2188368.388, G,53.125,78.125,4.466666667,7.356888576,0,19,120735.392,25.170454,11.150442,15.768038,0.095566
G-Snow Creek,-1226725.639,2208931.618, G,15.625,87.5,1.518518519,3.806577004,0,13,112553.6284,23.69149,11.18451,29.332487,0.233226
G-Solvay 1,-1140572.306,2137049.143, G,0,75,4.34375,9.071790288,0,30,106515.6347,19,4.231246,5.015601,0.039437
