ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
150,0,FALSE,2017,NAD83,13,380057.5926,4919175.621,1000,9.682964325,34.41187668,28.37738609,13.84132862,16.03234482,216.8905487,267.6490334,7686.204543
151,0,FALSE,2017,NAD83,13,399866.4454,4908898.283,1000,12.71764755,36.3935585,28.06999969,12.96827984,15.96394253,195.4499664,590.9851197,2212.703446
152,0,FALSE,2017,NAD83,13,392463.3886,4907612.699,1000,9.162656784,39.43809891,29.11938095,12.15405178,14.79432964,194.1762695,314.0296735,6003.60809
153,0,FALSE,2017,NAD83,13,385310.7504,4907998.335,1000,8.437952042,31.88881874,32.4090271,11.92811298,14.29489326,50.29562378,133.1005597,5148.272868
154,0,FALSE,2017,NAD83,13,387236.9079,4925979.181,1000,9.139137268,29.73526955,34.62286758,10.3358593,11.50098515,40.67151642,1260.133514,13607.0798
155,0,FALSE,2017,NAD83,13,382445.6877,4918357.214,1000,9.863702774,26.27327538,35.64206314,13.3155756,15.43813992,208.7977753,189.0252262,2684.17811
156,0,FALSE,2017,NAD83,13,398079.6788,4904423.892,1000,14.06951809,51.80532074,26.5726738,5.678694725,8.363841057,161.239563,1071.575681,3194.042442
157,0,FALSE,2017,NAD83,13,390448.255,4906212.896,1000,8.793458939,38.53943634,28.03321075,13.00615788,15.90094185,156.8747101,1206.193258,4536.810036
158,0,FALSE,2017,NAD83,13,393824.7069,4905426.618,1000,7.233796597,41.47826767,25.93116951,12.81736755,14.63418102,145.5972137,118.5767527,1740.800453
159,0,FALSE,2017,NAD83,13,395251.9285,4919284.534,1000,8.176654816,33.81012344,29.36317062,12.86275864,14.47155571,89.72519684,82.81939693,1685.824685
160,0,FALSE,2017,NAD83,13,384223.0412,4910781.833,1000,9.637099266,29.0480957,32.365345,14.94329166,18.98270607,514.7937012,88.86590776,7917.519
101,0,FALSE,2017,NAD83,13,388646.3648,4911901.952,1000,9.01362133,27.20722771,37.1737442,12.56477928,14.48827362,18.8447876,10.71456177,1387.183718
102,0,FALSE,2017,NAD83,13,394203.7358,4911589.009,1000,11.29501534,43.89324188,24.60632133,13.27735424,15.11090755,252.3079376,881.8461632,4630.272591
103,0,FALSE,2017,NAD83,13,389473.1884,4902199.672,1000,13.01407146,40.93871689,31.40829086,9.368317604,11.99030018,62.01849365,881.0268588,5903.795828
104,0,FALSE,2017,NAD83,13,390623.8299,4922080.516,1000,14.73714828,47.25242996,27.65484047,8.284365654,10.19011402,283.3296814,23.73977641,6375.060028
105,0,FALSE,2017,NAD83,13,379372.5127,4914880.712,1000,13.34348392,34.26880646,30.89683151,11.98915958,15.21444225,223.1143799,87.88344504,4971.64005
106,0,FALSE,2017,NAD83,13,387286.397,4927293.714,1000,10.38442039,28.38333511,31.37905884,15.18167782,18.00794792,65.10723877,691.1749373,10135.9157
107,0,FALSE,2017,NAD83,13,389017.4265,4919888.354,1000,12.31594849,48.74774551,26.5608139,7.943341255,9.54097271,192.2705383,176.0428991,1818.648252
108,0,FALSE,2017,NAD83,13,393225.7809,4899399.568,1000,10.4945507,35.32456589,28.20340347,14.38163662,17.1307354,62.75328445,831.896363,1745.42655
109,0,FALSE,2017,NAD83,13,390415.6623,4903646.986,1000,10.60835552,44.76459122,29.47514153,9.31573391,11.01661873,237.6920929,36.11195472,2101.61555
110,0,FALSE,2017,NAD83,13,394838.7071,4919124.871,1000,11.22844315,41.92941666,28.9496479,10.63963032,11.58743858,136.3547974,368.9873884,1745.253742
111,0,FALSE,2017,NAD83,13,388862.2262,4908665.95,1000,18.46213341,48.70462799,24.90573311,10.23722839,12.75816536,195.1309052,505.5848237,6227.56002
112,0,FALSE,2017,NAD83,13,393280.9818,4905646.747,1000,9.863838196,40.11473083,29.4011879,10.21234226,11.61127186,44.2850914,81.10836152,67.60406232
113,0,FALSE,2017,NAD83,13,394639.2687,4915721.543,1000,8.064799309,21.52363968,31.57931709,16.94514656,20.93744469,97.81967163,114.0126397,4201.150048
